Customer_ID,snapshot_date,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,num_loan_types,debt_to_income,emi_to_salary,investment_rate,balance_to_debt,inq_per_loan,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,label
cus_0x13ef,2023-01-01,52.0,18666.56,1323.547,3.0,4.0,11.0,4.0,['student loan' 'payday loan' 'credit-builder loan'],3,5.0,8.67,2.0,770.81,35.324,387,58.886,106.089,257.38,3,0.041291416767911815,0.044457463570564126,0.08009455308116661,0.3347715111232039,0.4,100.0,35.0,58.0,-18.0,69.0,66.0,136.0,65.0,265.0,18.0,148.0,-8.0,-1.0,217.0,73.0,102.0,54.0,-74.0,150.0,147.0,0
cus_0x1440,2023-01-01,19.0,7780.49,368.374,8.0,5.0,33.0,7.0,"['personal loan' 'debt consolidation loan' 'home equity loan'
 'mortgage loan']",59,17.0,25.55,6.0,4108.42,35.147,153,38.108,19.931,248.799,4,0.5279734343936702,0.10316914563558885,0.05395886012550964,0.06078692370212828,0.75,148.0,-15.0,40.0,40.0,54.0,-147.0,85.0,268.0,50.0,96.0,149.0,97.0,12.0,256.0,145.0,85.0,39.0,-86.0,259.0,225.0,0
cus_0x1443,2023-01-01,31.0,88120.12,7377.343,5.0,6.0,15.0,4.0,['student loan' 'personal loan' 'auto loan'],6,14.0,7.48,2.0,534.85,26.829,404,164.979,99.246,713.51,3,0.006069487087771922,0.02235989842163749,0.013450987572684002,1.3334142017355604,0.4,127.0,90.0,-98.0,200.0,-34.0,178.0,-6.0,107.0,25.0,40.0,-33.0,114.0,167.0,36.0,183.0,170.0,-72.0,114.0,-37.0,262.0,0
cus_0x145a,2023-01-01,29.0,41587.37,3704.614,5.0,4.0,3.0,2.0,['mortgage loan'],5,7.0,2.27,4.0,1353.86,26.199,198,68.54,45.798,506.123,1,0.03255381252018292,0.01849625999901771,0.012359085430916442,0.3742991895841637,1.3333333333333333,123.0,256.0,187.0,29.0,193.0,138.0,183.0,185.0,270.0,97.0,38.0,38.0,99.0,-61.0,242.0,-168.0,54.0,147.0,183.0,157.0,0
cus_0x1492,2023-01-01,36.0,9134.415,1051.201,5.0,10.0,15.0,3.0,['payday loan' 'mortgage loan' 'student loan'],18,4106.0,13.19,6.0,1621.28,33.779,194,15.954,92.909,286.257,3,0.17747195940195382,0.015162502221533718,0.08829966897959611,0.17706992627659837,1.5,115.0,99.0,-27.0,18.0,135.0,-18.0,266.0,184.0,230.0,-69.0,-80.0,50.0,155.0,136.0,54.0,152.0,182.0,85.0,-136.0,254.0,0
cus_0x153d,2023-01-01,20.0,8538.405,992.534,7.0,5.0,30.0,6.0,['payday loan' 'personal loan' 'credit-builder loan'],31,23.0,24.73,9.0,4171.09,29.328,21,27.176,35.103,326.974,3,0.48845206428316723,0.027352863616141972,0.03533145317623755,0.07861143935054132,1.2857142857142858,101.0,58.0,19.0,167.0,-87.0,73.0,266.0,114.0,169.0,38.0,-48.0,224.0,22.0,54.0,146.0,258.0,-180.0,241.0,144.0,78.0,0
cus_0x1567,2023-01-01,31.0,19363.33,1904.611,8.0,6.0,13.0,2.0,['credit-builder loan' 'home equity loan'],7,17.0,18.31,10.0,111.66,24.395,174,30.694,49.635,360.132,2,0.0057662723161606925,0.016107169826370647,0.026046764003776215,3.2055032842180013,3.3333333333333335,-97.0,-106.0,78.0,185.0,45.0,20.0,155.0,-61.0,168.0,101.0,88.0,254.0,217.0,123.0,125.0,258.0,78.0,-32.0,198.0,106.0,0
cus_0x15ad,2023-01-01,27.0,82316.18,6625.682,0.0,5.0,4.0,3.0,['debt consolidation loan' 'payday loan'],23,12.0,11.0,2.0,42.98,31.789,220,133.894,161.208,607.467,2,0.0005221267298029403,0.020205285239279627,0.024327106687781305,13.835084129149614,0.5,261.0,78.0,139.0,239.0,29.0,151.0,-1.0,165.0,110.0,276.0,82.0,211.0,77.0,149.0,-46.0,210.0,199.0,199.0,150.0,262.0,1
cus_0x1630,2023-01-01,35.0,17706148.0,6943.133,4.0,6.0,10.0,6.0,['student loan' 'personal loan' 'debt consolidation loan'],9,10.0,16.55,5.0,377.05,32.087,134,340.288,396.248,237.777,3,2.1294862027875174e-05,0.049003669716579455,0.05706227112873558,0.6316016399947096,0.7142857142857143,153.0,135.0,73.0,188.0,209.0,171.0,143.0,51.0,137.0,276.0,113.0,159.0,10.0,256.0,181.0,-7.0,232.0,-84.0,116.0,60.0,1
cus_0x169c,2023-01-01,46.0,11646.925,1135.577,7.0,4.0,7.0,0.0,,26,9.0,4.54,6.0,782.26,24.488,395,0.0,72.285,311.273,-1,0.06715874286621866,0.0,0.06359885867829455,0.3986837065597631,6.0,146.0,84.0,195.0,263.0,135.0,108.0,125.0,177.0,94.0,276.0,168.0,140.0,196.0,86.0,53.0,150.0,222.0,250.0,146.0,-83.0,0
cus_0x169d,2023-01-01,20.0,8637.095,644.758,5.0,7.0,14.0,4.0,['home equity loan' 'personal loan'],18,11.0,9.25,7.0,2039.13,37.531,94,27.447,18.896,298.132,2,0.2360624651615895,0.042503538477262376,0.02926173582053958,0.14662398964771853,1.4,87.0,137.0,213.0,263.0,126.0,106.0,66.0,268.0,156.0,276.0,106.0,44.0,180.0,121.0,117.0,22.0,162.0,118.0,147.0,143.0,0
cus_0x16f4,2023-01-01,37.0,28638.97,2592.581,7.0,6.0,6.0,3.0,['credit-builder loan' 'payday loan' 'mortgage loan'],14,9.0,1.34,1.0,149.92,33.875,362,52215.0,143.602,306.768,3,0.005234642354723137,20.13239609636252,0.05536823411337452,2.03927908825868,0.25,-61.0,196.0,67.0,263.0,185.0,2.0,135.0,28.0,209.0,-53.0,256.0,195.0,155.0,149.0,257.0,151.0,64.0,20.0,151.0,-13.0,0
cus_0x1733,2023-01-01,29.0,46696.02,3811.335,8.0,4.0,33.0,3.0,['credit-builder loan' 'auto loan' 'personal loan'],12,19.0,15.02,13.0,1595.76,34.616,226,89.911,196.772,354.45,3,0.03417263028775712,0.02358423380946323,0.051614561679390714,0.22260702923419926,3.25,150.0,49.0,72.0,64.0,123.0,184.0,109.0,46.0,214.0,126.0,123.0,145.0,-49.0,121.0,-64.0,49.0,41.0,82.0,22.0,99.0,1
cus_0x17c7,2023-01-01,53.0,16862.715,1603.226,8.0,5.0,10.0,2.0,['debt consolidation loan'],22,18.0,17.13,5.0,574.86,30.489,316,14.74,46.021,379.561,1,0.0340885741961365,0.009188231583330528,0.02868735452486121,0.6608568054735525,1.6666666666666667,204.0,88.0,-70.0,66.0,141.0,34.0,214.0,170.0,45.0,205.0,256.0,139.0,193.0,-26.0,174.0,96.0,17.0,50.0,137.0,84.0,0
cus_0x181e,2023-01-01,36.0,29555.14,2663.928,7.0,3.0,13.0,5.0,"['personal loan' 'debt consolidation loan' 'auto loan'
 'credit-builder loan' 'payday loan']",22,17.0,9.04,6.0,1488.29,26.749,153,81.465,30.059,394.869,5,0.050354680956308906,0.03056930618763434,0.011279479220451735,0.2658105540223865,1.0,58.0,152.0,187.0,140.0,40.0,264.0,142.0,260.0,138.0,191.0,167.0,130.0,53.0,185.0,-23.0,133.0,112.0,-105.0,64.0,-49.0,0
cus_0x181f,2023-01-01,38.0,58558.86,5123.905,10.0,9.0,25.0,2.0,['credit-builder loan'],56,16.0,19.92,16.0,1376.79,36.529,178,58.731,94.654,609.005,1,0.023510814404269408,0.011459919744853808,0.01846941553062935,0.4427416369693495,5.333333333333333,169.0,213.0,25.0,47.0,226.0,86.0,29.0,197.0,60.0,132.0,52.0,63.0,231.0,88.0,21.0,209.0,26.0,44.0,59.0,113.0,1
cus_0x182b,2023-01-01,47.0,105015.76,8719.313,8.0,4.0,9.0,4.0,['credit-builder loan' 'home equity loan' 'payday loan'],14,18.0,17.52,3.0,715.37,29.543,320,344.212,293.059,494.66,3,0.006811960300432045,0.039472436367823036,0.03360647719869688,0.6919050211482893,0.6,94.0,2.0,176.0,53.0,99.0,38.0,80.0,110.0,-144.0,158.0,38.0,48.0,160.0,12.0,105.0,109.0,-59.0,92.0,150.0,86.0,0
cus_0x18c9,2023-01-01,48.0,31183.16,2760.597,0.0,7.0,5.0,1.0,['mortgage loan'],0,15.0,2.46,1.0,854.72,26.621,260,23.723,76.394,455.943,1,0.02740878702520767,0.008590319297131332,0.02766297906609835,0.5339865843967653,0.5,205.0,-86.0,142.0,58.0,174.0,102.0,2.0,-60.0,48.0,171.0,114.0,254.0,257.0,103.0,193.0,80.0,-43.0,257.0,88.0,194.0,1
cus_0x190e,2023-01-01,21.0,39734.74,3402.228,3.0,6.0,8.0,0.0,,9,8.0,1.75,0.0,1084.26,37.217,219,0.0,165.459,434.763,-1,0.027286770046310953,0.0,0.04861825302330611,0.4015286659418019,0.0,83.0,189.0,32.0,97.0,179.0,122.0,-18.0,124.0,69.0,-12.0,45.0,91.0,151.0,194.0,-124.0,-25.0,185.0,119.0,16.0,125.0,0
cus_0x1920,2023-01-01,42.0,20328.25,1561.021,6.0,5.0,16.0,0.0,,19,20.0,9.42,5.0,1025.98,32.886,67,0.0,63.306,382.796,-1,0.05046816778779345,0.0,0.04052826434471751,0.3737132173946912,5.0,81.0,14.0,179.0,50.0,266.0,24.0,169.0,24.0,-13.0,276.0,189.0,61.0,206.0,234.0,234.0,252.0,261.0,77.0,28.0,115.0,0
cus_0x1960,2023-01-01,54.0,32707.14,2679.595,5.0,6.0,20.0,1.0,['home equity loan'],30,9.0,1.97,4.0,405.07,34.466,287,22.103,77.643,448.213,1,0.01238437893441816,0.008245557422885592,0.028964838030362663,1.106245228655158,2.0,27.0,250.0,77.0,193.0,236.0,108.0,158.0,12.0,131.0,186.0,3.0,108.0,176.0,211.0,192.0,258.0,138.0,105.0,259.0,103.0,0
cus_0x19ad,2023-01-01,44.0,14293.43,1465.119,7.0,7.0,18.0,7.0,"['payday loan' 'auto loan' 'mortgage loan' 'debt consolidation loan'
 'home equity loan']",12,13.0,9.55,13.0,2352.93,32.532,76,73.81,115.419,237.283,5,0.16460467468797285,0.050343798832154826,0.07872416904766939,0.10122773404476769,1.625,-24.0,24.0,144.0,64.0,30.0,257.0,42.0,190.0,4.0,-53.0,-42.0,191.0,192.0,167.0,0.0,10.0,21.0,220.0,237.0,100.0,0
cus_0x19d1,2023-01-01,36.0,7110.93,843.578,7.0,10.0,22.0,4.0,['auto loan' 'payday loan' 'personal loan' 'home equity loan'],54,16.0,9.03,6.0,2211.24,33.238,83,16.98,14.441,292.936,4,0.31091982063940443,0.020104715017440662,0.017098479950934078,0.13286804325028026,1.2,200.0,-1.0,126.0,251.0,8.0,67.0,113.0,191.0,123.0,-3.0,136.0,90.0,257.0,-40.0,257.0,29.0,241.0,257.0,48.0,197.0,1
cus_0x19e1,2023-01-01,45.0,114897.2,9333.767,3.0,5.0,11.0,4.0,['personal loan' 'auto loan'],5,7.0,10.68,7.0,620.8,29.763,237,338.042,226.105,609.23,2,0.005403043737847938,0.036213223104550975,0.024221815070477923,0.9813927307816019,1.4,197.0,166.0,110.0,67.0,115.0,88.0,73.0,268.0,228.0,33.0,114.0,36.0,77.0,93.0,97.0,1.0,249.0,196.0,157.0,38.0,0
cus_0x1a9c,2023-01-01,38.0,17971.0,1383.583,7.0,3.0,7.0,3.0,['mortgage loan' 'debt consolidation loan'],29,14.0,11.09,1.0,1282.79,29.4,268,41.392,75.902,298.092,2,0.07137714222123302,0.02989492143121792,0.05481939327580939,0.2329757982224507,0.25,173.0,258.0,89.0,112.0,165.0,95.0,-58.0,55.0,173.0,258.0,148.0,28.0,112.0,23.0,165.0,80.0,85.0,148.0,165.0,-110.0,0
cus_0x1ab3,2023-01-01,41.0,81831.72,6910.31,6.0,5.0,1.0,4.0,['auto loan' 'debt consolidation loan' 'mortgage loan' 'student loan'],8,4.0,5.14,4.0,446.42,24.956,220,234.509,145.265,551.257,4,0.0054552751026728675,0.03393119394152483,0.021018446575251287,1.2343145143265835,0.8,105.0,212.0,263.0,12.0,91.0,128.0,238.0,55.0,131.0,169.0,96.0,170.0,-131.0,-79.0,87.0,258.0,61.0,13.0,-69.0,29.0,0
cus_0x1b42,2023-01-01,43.0,168899.44,14211.953,4.0,4.0,4.0,1.0,['home equity loan'],5,8.0,0.96,0.0,826.84,29.789,371,71.852,514.016,1105.328,1,0.004895428336361942,0.005055388559998757,0.036165320465071545,1.3364031696946268,0.0,4.0,162.0,199.0,236.0,245.0,10.0,228.0,24.0,233.0,127.0,94.0,67.0,92.0,3.0,80.0,146.0,202.0,143.0,259.0,6.0,0
cus_0x1b66,2023-01-01,34.0,50538.58,4054.548,6.0,7.0,9.0,4.0,['debt consolidation loan' 'mortgage loan' 'auto loan' 'payday loan'],17,21.0,9.09,6.0,1205.13,23.561,108,164.807,256.246,254.401,4,0.023845271369489024,0.04063741817382016,0.06318406291825421,0.2117524644938771,1.2,58.0,146.0,216.0,179.0,185.0,225.0,155.0,108.0,79.0,116.0,78.0,74.0,-17.0,115.0,195.0,-25.0,204.0,31.0,-6.0,41.0,0
cus_0x1bc4,2023-01-01,49.0,31638.5,2418.542,7.0,3.0,14.0,3.0,['student loan' 'payday loan'],24,11.0,14.13,2.0,607.9,37.962,300,58.185,157.515,316.155,2,0.019213325115757202,0.02404793965138857,0.06510116377397045,0.5208654951551979,0.5,261.0,144.0,83.0,83.0,80.0,133.0,225.0,133.0,59.0,134.0,170.0,106.0,7.0,143.0,85.0,-37.0,123.0,-3.0,10.0,256.0,0
cus_0x1c09,2023-01-01,22.0,66528.24,5733.02,5.0,5.0,11.0,0.0,,20,12.0,13.65,2.0,1460.8,30.586,275,0.0,158.42,664.882,-1,0.021957262701332525,0.0,0.027628086403605145,0.4555219592283486,2.0,-93.0,258.0,263.0,155.0,76.0,67.0,61.0,-20.0,178.0,-12.0,200.0,24.0,-70.0,104.0,237.0,53.0,-38.0,4.0,-65.0,189.0,0
cus_0x1c39,2023-01-01,41.0,18205.45,1480.121,2.0,5.0,7.0,1.0,['credit-builder loan'],1,9.0,1.78,7.0,1042.25,35.341,338,12.472,63.318,362.222,1,0.05724619571635327,0.00842064895440683,0.04275005215644096,0.34816391085549964,3.5,243.0,-12.0,41.0,67.0,98.0,19.0,140.0,173.0,55.0,64.0,170.0,-3.0,76.0,40.0,188.0,45.0,135.0,21.0,85.0,37.0,0
cus_0x1c9c,2023-01-01,28.0,64425.78,5254.815,1.0,3.0,8.0,4.0,['personal loan' 'home equity loan' 'debt consolidation loan'],6,8.0,2.69,1.0,711.1,32.61,307,165.565,318.756,331.16,3,0.011037335716607288,0.031501299037351965,0.060648253410746,0.46645134110377756,0.2,19.0,-132.0,170.0,105.0,104.0,138.0,153.0,79.0,104.0,172.0,65.0,232.0,152.0,148.0,94.0,5.0,-5.0,192.0,60.0,99.0,1
cus_0x1dcf,2023-01-01,51.0,40331.05,3106.921,5.0,5.0,3.0,2.0,['auto loan' 'personal loan'],31,10.0,10.56,2.0,767.89,39.404,240,64.765,273.191,372.101,2,0.019039200834076123,0.020838689271702855,0.08790152645450125,0.4852462640949941,0.6666666666666666,52.0,77.0,98.0,263.0,-10.0,-134.0,266.0,45.0,152.0,167.0,85.0,254.0,203.0,25.0,213.0,211.0,64.0,-54.0,161.0,44.0,1
cus_0x1ef5,2023-01-01,33.0,11189.065,1159.422,6.0,3.0,15.0,3.0,['credit-builder loan' 'debt consolidation loan' 'auto loan'],24,11.0,17.09,9.0,761.18,23.704,132,18.44,119.189,268.314,3,0.06802283990307473,0.015890770771322848,0.10271177209670275,0.3533469784040516,2.25,72.0,29.0,79.0,263.0,46.0,75.0,61.0,-20.0,67.0,57.0,-46.0,198.0,138.0,136.0,257.0,171.0,73.0,49.0,200.0,-100.0,0
cus_0x1ff5,2023-01-01,43.0,147292.28,12261.357,4.0,3.0,16.0,4.0,['auto loan' 'student loan' 'mortgage loan'],30,17.0,10.61,5.0,1133.79,29.158,201,246.262,93.25,1126.623,3,0.007697499845206787,0.020082762229153825,0.007604573900433661,0.9936842940103456,1.0,199.0,251.0,3.0,154.0,-6.0,219.0,105.0,-24.0,57.0,239.0,151.0,181.0,99.0,53.0,257.0,193.0,-12.0,125.0,158.0,3.0,0
cus_0x1ff7,2023-01-01,48.0,9824.31,707.693,7.0,4.0,17.0,0.0,,25,17.0,0.96,5.0,1233.96,25.816,230,0.0,38.327,292.443,-1,0.1255899304958317,0.0,0.054081245334721806,0.237613363995595,5.0,-58.0,5.0,263.0,152.0,28.0,75.0,79.0,24.0,72.0,127.0,75.0,227.0,136.0,181.0,89.0,86.0,37.0,-51.0,-122.0,116.0,0
cus_0x205c,2023-01-01,33.0,28836.83,2269.069,7.0,4.0,16.0,0.0,,20,13.0,12.71,8.0,667.56,28.248,209,0.0,213.936,302.971,-1,0.023148759806129654,0.0,0.09424206929392896,0.454665250688046,8.0,183.0,225.0,65.0,64.0,-4.0,120.0,68.0,121.0,146.0,-73.0,256.0,33.0,156.0,90.0,49.0,97.0,56.0,70.0,70.0,-12.0,0
cus_0x210f,2023-01-01,36.0,24376.2,2278.35,4.0,7.0,10.0,1.0,['personal loan'],6,16.0,7.3,1.0,1109.03,33.349,264,10.836,197.052,309.947,1,0.04549456049095056,0.0047539868822251965,0.08645096189703205,0.28012486149023,0.5,50.0,234.0,24.0,150.0,89.0,41.0,96.0,-32.0,-17.0,210.0,151.0,134.0,257.0,114.0,38.0,-17.0,259.0,59.0,106.0,126.0,0
cus_0x21dc,2023-01-01,42.0,130125.04,10871.753,5.0,2.0,11.0,2.0,['mortgage loan' 'debt consolidation loan'],3,0.0,3.82,3.0,1195.05,30.533,198,204.286,300.699,1009.323,2,0.00918378827174023,0.01878880169539398,0.027656197101138966,0.8447163580117888,1.0,179.0,258.0,-14.0,47.0,186.0,172.0,266.0,162.0,-118.0,201.0,144.0,142.0,72.0,156.0,208.0,156.0,-67.0,212.0,-33.0,-44.0,0
cus_0x2274,2023-01-01,41.0,105931.17,8672.598,8.0,7.0,11.0,5.0,['mortgage loan' 'auto loan' 'student loan'],27,12.0,23.1,8.0,254.06,29.101,68,392.842,460.15,274.267,3,0.0023983271559527195,0.04529170016871891,0.05305180157069765,1.0792244961969732,1.3333333333333333,40.0,98.0,140.0,86.0,-88.0,128.0,148.0,168.0,248.0,155.0,119.0,180.0,107.0,98.0,176.0,-4.0,261.0,147.0,-78.0,97.0,0
cus_0x2297,2023-01-01,43.0,16084.71,1514.393,7.0,10.0,25.0,6.0,"['student loan' 'debt consolidation loan' 'credit-builder loan'
 'personal loan']",16,21.0,29.57,12.0,3647.98,26.837,84,60.137,119.901,251.401,4,0.2267838970116955,0.03968409514891517,0.07912204952774626,0.0691702886834129,1.7142857142857142,-79.0,-16.0,-13.0,80.0,-32.0,-45.0,-236.0,268.0,-11.0,109.0,-46.0,136.0,209.0,-44.0,139.0,258.0,201.0,257.0,76.0,93.0,0
cus_0x2375,2023-01-01,19.0,20436.315,1785.026,1.0,3.0,7.0,3.0,['personal loan'],19,1.0,4.86,6.0,783.77,27.3,278,20.366,23.587,384.549,1,0.03834994958975776,0.01140296949764449,0.013206414688252018,0.49128916752679125,1.4285714285714286,137.0,258.0,156.0,60.0,80.0,150.0,-54.0,34.0,151.0,77.0,52.0,254.0,77.0,15.0,70.0,237.0,218.0,40.0,88.0,7.0,0
cus_0x24a8,2023-01-01,46.0,20645.48,1631.457,5.0,7.0,2.0,0.0,,15,14.0,4.67,3.0,251.95,32.236,234,0.0,115.772,327.374,-1,0.012203048655267144,0.0,0.07091886646937715,1.298177505435857,3.0,186.0,64.0,33.0,162.0,206.0,132.0,91.0,-69.0,4.0,127.0,216.0,17.0,-223.0,177.0,177.0,188.0,-10.0,142.0,-20.0,-83.0,0
cus_0x24c3,2023-01-01,52.0,84602.38,6800.198,2.0,4.0,11.0,0.0,,5,12.0,7.5,3.0,806.02,39.886,388,0.0,108.471,811.549,-1,0.00952704253659842,0.0,0.01594880784238306,1.0068511313226438,3.0,150.0,19.0,106.0,2.0,33.0,20.0,259.0,268.0,93.0,117.0,127.0,254.0,257.0,90.0,257.0,258.0,244.0,257.0,129.0,59.0,0
cus_0x24e1,2023-01-01,33.0,93312.33,7898.028,3.0,3.0,13.0,2.0,['payday loan'],26,17.0,10.88,0.0,555.33,36.716,385,126.186,161.86,816.39,1,0.005951239763922261,0.015974876908905755,0.02049112878192102,1.469253860118994,0.0,75.0,258.0,127.0,263.0,-8.0,93.0,15.0,76.0,-52.0,156.0,40.0,161.0,-90.0,150.0,35.0,34.0,190.0,70.0,153.0,88.0,0
cus_0x2513,2023-01-01,32.0,131990.84,10514.22,5.0,4.0,8.0,0.0,,35,15.0,10.07,0.0,647.15,34.601,268,593.017,90.28,1260.444,-1,0.00490295460689085,0.05639606208904807,0.008585650133806046,1.9462223250790711,0.0,79.0,21.0,103.0,263.0,-22.0,148.0,89.0,60.0,145.0,247.0,-89.0,120.0,53.0,159.0,53.0,83.0,31.0,-10.0,18.0,99.0,0
cus_0x2552,2023-01-01,20.0,19826.67,1805.223,6.0,3.0,33.0,5.0,['student loan' 'home equity loan' 'personal loan' 'auto loan'],6,15.0,11.47,8.0,2052.89,31.076,71,45.869,126.359,298.294,4,0.10353662331479191,0.025394981682771177,0.06995758552515387,0.14572055952363563,1.3333333333333333,-61.0,175.0,-91.0,101.0,266.0,29.0,238.0,-131.0,139.0,158.0,95.0,-44.0,171.0,143.0,250.0,164.0,-72.0,115.0,29.0,229.0,0
cus_0x255d,2023-01-01,17.0,14217.52,1482.793,6.0,10.0,32.0,9.0,"['mortgage loan' 'personal loan' 'student loan' 'home equity loan'
 'credit-builder loan' 'payday loan']",36,18.0,15.19,13.0,3306.24,35.921,40,79.793,10000.0,252.643,6,0.23253053060374776,0.053776369075740356,6.73948455074259,0.07669325479856316,1.3,-27.0,208.0,84.0,-144.0,58.0,264.0,105.0,64.0,121.0,78.0,73.0,19.0,64.0,177.0,-89.0,174.0,232.0,199.0,157.0,-66.0,0
